model,k,RMS_pct,AIC,AICc,LOOCV_pct
Black body,2,6.39637135072272,-168.532671247025,-168.104099818453,6.76913062480534
Linear emissivity,3,2.73960930282853,-220.191265213353,-219.302376324464,3.05056403444815
Tabulated real,2,4.34135593184168,-192.560407128169,-192.131835699598,4.46632191665521
Hybrid,3,2.06629547432003,-237.67885761569,-236.789968726801,2.28991967238338
Log-linear (Huang),7,0.53898835728155,-317.774287281145,-312.904722063753,1.39748187126451
GPR,3,0.594925076901462,-311.718379288696,-310.829490399807,3.11024478288754
