pixel,lambda_NIST_nm,previsto_nm,residuo_nm,fonte
639.920846625034,313.1555,313.159737440942,0.00423744094194944,Hg
1079.73399874947,404.6565,404.636222046122,-0.0202779538781783,Hg
1231.8663248453,435.8335,435.843602125122,0.0101021251219322,Hg
1780.07950934391,546.075,546.112080016007,0.0370800160073941,Hg
1936.94680795868,576.961,576.961559418548,0.000559418548391477,Hg
1947.92553633595,579.067,579.107908053027,0.0409080530268966,Hg
1979.33487312999,585.2488,585.239056848288,-0.00974315171220042,Ne
1994.41333456318,588.1895,588.177416243164,-0.0120837568356364,Ne
2026.8196179427,594.4834,594.481448674179,-0.00195132582064161,Ne
2042.30141291366,597.5534,597.487794211039,-0.0656057889609656,Ne
2070.70848215098,603,602.994981758416,-0.00501824158357067,Ne
2093.75199134769,607.4338,607.453673431943,0.0198734319432106,Ne
2104.82916762035,609.6163,609.594212620044,-0.0220873799556784,Ne
2129.23907596827,614.3062,614.304729657606,-0.0014703423944411,Ne
2139.64706093665,616.3594,616.310517583249,-0.0488824167507573,Ne
2167.86442143117,621.7281,621.740290481187,0.0121904811869626,Ne
2193.43175506798,626.6495,626.649750192121,0.000250192121484361,Ne
2213.61081335236,630.4789,630.517530395475,0.0386303954746836,Ne
2228.9389766423,633.4428,633.451361539962,0.00856153996198827,Ne
2254.38468897852,638.2991,638.313719764684,0.0146197646838573,Ne
2264.32291717152,640.2248,640.210070967265,-0.0147290327353176,Ne
2319.27013082948,650.6528,650.666931946075,0.0141319460748264,Ne
2333.01509527259,653.2882,653.27527429603,-0.0129257039702679,Ne
2368.06043641538,659.8953,659.912143539292,0.016843539291699,Ne
2410.06872252002,667.8276,667.841710624119,0.0141106241188709,Ne
2430.55537985253,671.7043,671.698456073018,-0.00584392698203828,Ne
2544.02703544734,692.9467,692.935220053079,-0.0114799469206446,Ne
