0.0	7.58940000024414	15.25230000024414	22.76810000024414	30.39780000024414	38.05430000024414	45.6706	53.15280000024414	60.7261	68.36930000024414	76.03590000024414	83.6766	91.25590000024414	98.9296	106.57140000024414	114.17660000024414	121.70390000024415	129.2939	136.94860000024414	144.46650000024414	151.93180000024415	159.50830000024413	167.15180000024415	174.76840000024413	182.35200000024415	189.9644	197.55810000024414	205.18250000024415	212.74130000024414	220.3574	228.0512	235.6711	243.2125	251.00570000024413	258.60680000024416	266.22400000024413	273.7879000002441	281.4215000002441	288.9828	296.57340000024413	304.18720000024416	311.76470000024415	319.32720000024415	326.90760000024414	334.59820000024416	342.16280000024415	349.7915000002441	357.41340000024417	364.9786000002441	372.56210000024413	380.19310000024416	387.7503000002441	395.39400000024415	402.9776	410.45240000024415	417.89060000024415	425.5617000002441	433.12360000024415	440.7349000002441	448.38690000024417	456.0159	463.5595	471.17230000024415	478.80290000024416	486.4018000002441	494.1502000002441	501.79180000024417	509.4841	516.7017000002442	524.3399000002441	531.9599000002441	539.5361000002441	547.1724000002441	554.7487000002442	562.2997000002441	569.9272000002442	577.5938000002442	585.1303000002441	592.797	600.4877	608.1478000002442	615.4885000002441	623.1239000002441	630.7417000002441	638.3096000002441	645.9394000002442	653.5109000002442	661.1616	668.856	676.4442000002441	684.1940000002442	691.7467000002441	699.3262000002442	706.9557	714.5253000002441	722.1701000002441	729.7346	737.3593	744.8527000002441	752.5656	
176.36	-7.45	13.42	44.26	-35.80	-10.43	4.29	33.24	11.26	-0.05	-33.29	-34.43	3.14	1.20	48.74	-18.99	-27.27	4.99	7.14	-3.55	48.18	-12.93	-7.70	-23.50	45.59	25.97	37.66	-68.05	29.35	62.73	-48.94	-23.96	-21.53	34.19	2.49	-14.39	7.34	54.75	-74.91	5.85	25.68	-17.05	26.09	35.65	-22.27	64.42	-12.42	-23.69	-19.21	-11.87	-19.45	-32.48	8.07	-15.20	-31.46	16.41	-39.68	8.03	8.66	-10.92	50.37	0.57	11.17	-8.14	25.73	-60.72	15.02	38.70	-39.47	-9.59	1.01	-7.53	61.67	61.53	9.72	-37.56	-24.53	35.15	10.53	7.96	54.67	5.30	-15.06	20.78	-25.52	11.98	-13.11	-26.41	10.91	85.05	30.52	-43.70	0.14	-18.74	21.01	-7.70	74.68	14.87	15.60	-75.23	-45.04
176.57	-7.45	13.42	44.26	-35.80	-10.43	4.29	33.24	11.26	-0.05	-33.29	-34.43	3.14	1.20	48.74	-18.99	-27.27	4.99	7.14	-3.55	48.18	-12.93	-7.70	-23.50	45.59	25.97	37.66	-68.05	29.35	62.73	-48.94	-23.96	-21.53	34.19	2.49	-14.39	7.34	54.75	-74.91	5.85	25.68	-17.05	26.09	35.65	-22.27	64.42	-12.42	-23.69	-19.21	-11.87	-19.45	-32.48	8.07	-15.20	-31.46	16.41	-39.68	8.03	8.66	-10.92	50.37	0.57	11.17	-8.14	25.73	-60.72	15.02	38.70	-39.47	-9.59	1.01	-7.53	61.67	61.53	9.72	-37.56	-24.53	35.15	10.53	7.96	54.67	5.30	-15.06	20.78	-25.52	11.98	-13.11	-26.41	10.91	85.05	30.52	-43.70	0.14	-18.74	21.01	-7.70	74.68	14.87	15.60	-75.23	-45.04
176.79	-7.45	13.42	44.26	-35.80	-10.43	4.29	33.24	11.26	-0.05	-33.29	-34.43	3.14	1.20	48.74	-18.99	-27.27	4.99	7.14	-3.55	48.18	-12.93	-7.70	-23.50	45.59	25.97	37.66	-68.05	29.35	62.73	-48.94	-23.96	-21.53	34.19	2.49	-14.39	7.34	54.75	-74.91	5.85	25.68	-17.05	26.09	35.65	-22.27	64.42	-12.42	-23.69	-19.21	-11.87	-19.45	-32.48	8.07	-15.20	-31.46	16.41	-39.68	8.03	8.66	-10.92	50.37	0.57	11.17	-8.14	25.73	-60.72	15.02	38.70	-39.47	-9.59	1.01	-7.53	61.67	61.53	9.72	-37.56	-24.53	35.15	10.53	7.96	54.67	5.30	-15.06	20.78	-25.52	11.98	-13.11	-26.41	10.91	85.05	30.52	-43.70	0.14	-18.74	21.01	-7.70	74.68	14.87	15.60	-75.23	-45.04
177.00	-1.30	-9.11	1.25	-23.51	18.25	10.44	29.14	7.16	4.05	24.05	-11.90	29.76	-2.89	11.88	9.68	-51.84	-46.21	11.23	0.55	62.52	-21.13	16.88	-19.40	-28.14	15.73	-70.88	5.67	-38.23	-23.28	-42.80	14.96	-5.15	-4.72	27.07	14.29	50.34	-29.22	-60.57	18.13	-9.14	-4.77	60.91	6.98	-26.36	35.75	28.54	45.94	-19.21	-50.78	-17.40	2.33	-16.51	5.28	27.93	-65.51	25.85	-6.31	45.53	19.80	42.18	-13.76	-72.80	22.58	-15.23	10.96	29.35	-57.55	-14.89	-34.17	23.53	14.99	-10.00	34.90	-21.00	-41.65	-34.77	-20.14	14.62	22.29	34.19	-0.84	-6.86	-40.66	-13.23	-22.84	15.56	12.50	-7.52	39.99	-49.35	-4.79	28.81	-16.69	-56.81	6.64	-19.52	-7.66	56.56	12.83	-86.00
177.22	25.32	3.18	-33.56	-43.99	-61.63	10.44	-34.34	35.83	-8.24	-10.76	-48.77	-15.29	27.83	50.79	-10.80	-4.74	-17.54	39.90	-28.13	39.99	1.40	-32.27	17.46	-58.86	15.73	0.79	-10.71	-44.37	54.54	22.74	41.58	35.81	13.72	-1.60	-102.45	25.77	-25.12	-1.18	-37.16	11.34	-19.10	42.47	-31.94	-75.51	21.41	10.10	11.12	44.27	14.76	-7.16	-46.82	-20.60	-50.02	9.50	22.55	44.29	36.70	0.47	-92.84	-39.74	4.67	66.47	0.05	-52.09	58.06	-19.80	-37.07	32.21	43.65	-50.19	17.04	22.76	2.13	-4.62	-8.89	-40.91	37.20	-69.35	12.05	-49.77	29.88	48.43	10.54	-15.28	67.27	-43.83	47.31	-68.96	-13.26	22.33	-43.70	12.42	63.18	12.82	-106.00	-17.48	41.49	15.60	31.27	63.50
177.44	58.09	-0.92	-4.89	25.64	32.58	41.16	14.81	-1.03	22.48	34.29	-3.71	-29.63	-9.04	5.73	13.78	3.45	-27.78	31.71	10.79	5.18	-37.51	-34.32	-13.26	4.63	-21.14	15.13	-14.81	21.16	-35.57	-14.12	2.67	15.33	-47.72	10.69	-0.05	-56.15	-41.51	-42.14	83.67	-0.94	21.86	13.80	52.03	35.08	13.22	16.25	72.56	60.66	-1.63	-5.11	41.24	-43.13	-7.01	-62.18	-10.22	-4.87	-88.22	10.71	-4.78	33.98	-79.30	-9.31	-32.72	19.59	-23.86	6.83	7.98	34.26	-77.18	-11.28	-11.63	24.81	0.09	3.57	-19.13	-38.86	-11.95	61.72	-33.00	-14.96	-31.56	19.76	-40.66	-46.00	-16.69	25.80	-28.46	-7.52	-46.02	-4.29	-15.03	-16.25	26.31	35.35	16.88	-1.09	-11.75	-6.93	4.64	55.31
177.65	-27.93	-41.88	5.35	-43.99	-18.62	-28.47	59.86	11.26	65.49	-0.52	6.53	-5.05	-35.66	15.97	21.97	23.93	37.76	-3.10	29.22	15.42	-29.32	-42.51	42.04	82.45	-4.75	72.47	42.54	-50.52	27.91	0.21	51.82	9.18	-19.05	10.69	-26.67	7.34	-33.31	2.92	-35.11	74.83	-23.20	-18.97	23.36	47.36	13.22	36.73	-40.08	58.61	37.29	33.80	-71.39	55.17	-37.73	7.45	45.08	17.66	16.22	-26.15	-21.16	-9.02	2.62	0.93	-18.38	46.21	-23.86	27.31	1.84	-4.65	-44.41	13.29	6.80	-3.86	8.28	5.62	-0.70	18.48	31.05	-24.29	28.44	28.05	-13.13	5.42	-69.33	-33.71	16.07	-27.44	16.59	-15.71	-21.45	-2.25	54.60	24.71	87.75	-19.95	-48.65	-42.05	-15.85	46.32	12.83	65.55
177.87	-21.78	-45.97	31.97	19.50	1.86	-10.04	-54.82	-89.09	59.34	-2.57	-32.38	17.48	36.02	28.26	15.83	7.55	-78.98	-13.34	-1.50	-0.97	-8.84	4.59	44.09	-1.51	-4.75	-17.64	11.82	-9.56	-6.90	8.40	-34.19	-31.77	-8.81	10.69	-30.77	48.29	-25.12	21.35	-12.59	19.54	7.52	-27.16	25.41	28.93	-56.41	6.01	-42.13	-47.89	-48.73	-46.07	-14.05	-41.08	-19.30	-17.13	-32.74	-29.44	-20.64	-69.16	38.23	23.74	-48.58	21.41	-10.19	-64.38	-30.00	51.88	34.60	1.49	-13.69	-5.14	-60.78	33.00	28.76	-29.19	25.93	6.19	-34.48	14.62	10.00	-8.81	-6.99	-2.77	41.26	13.39	20.17	-21.30	2.26	10.91	-60.36	53.05	-35.51	-24.44	-47.41	-15.85	53.74	35.77	33.30	-0.78	35.36	22.54
178.08	13.03	-48.02	-21.27	44.07	-4.28	4.29	-1.58	15.35	-8.24	-16.91	33.15	17.48	44.21	-22.94	48.59	48.51	84.86	-48.16	-9.69	-27.59	-31.36	43.50	-3.02	12.82	19.82	-19.69	65.06	8.87	52.49	-38.70	-23.96	-17.44	-2.67	14.78	24.53	-41.82	11.74	-13.47	79.57	11.34	23.91	15.85	-44.22	24.84	15.27	-20.62	-23.69	-2.83	-30.30	17.41	57.63	-49.28	-4.96	44.31	8.22	-41.73	-63.65	-5.67	-10.92	19.65	29.24	-17.50	38.96	25.73	-25.90	-11.61	89.90	17.87	-9.59	7.15	12.95	18.67	41.05	-27.14	1.35	-69.58	-22.19	53.53	22.29	3.48	33.97	-23.25	37.16	11.34	-82.23	-62.26	-3.88	41.63	21.56	26.43	7.50	-30.58	-0.31	29.21	-22.03	54.20	45.59	19.70	16.93	-12.28
