176.36	-209.49
176.57	-209.49
176.79	-209.49
177.00	-197.20
177.22	-236.11
177.44	30.12
177.65	204.20
177.87	112.04
178.08	101.80
178.30	17.84
178.52	109.99
178.73	62.89
178.95	130.47
179.16	230.82
179.38	64.94
179.60	52.65
179.81	66.99
180.03	114.09
180.24	118.19
180.46	126.38
180.68	138.67
180.89	77.23
181.11	116.14
181.32	-12.88
181.54	30.12
181.76	236.97
181.97	44.46
182.19	167.34
182.40	26.03
182.62	126.38
182.83	308.65
183.05	50.60
183.27	91.56
183.48	148.91
183.70	-14.93
183.91	60.84
184.13	77.23
184.35	316.84
184.56	167.34
184.78	132.52
184.99	146.86
185.21	128.43
185.42	189.87
185.64	138.67
185.86	109.99
186.07	-6.74
186.29	136.62
186.50	64.94
186.72	124.33
186.93	-4.69
187.15	112.04
187.37	21.93
187.58	140.71
187.80	87.47
188.01	290.22
188.23	161.19
188.44	87.47
188.66	105.90
188.87	130.47
189.09	128.43
189.31	71.08
189.52	38.32
189.74	212.39
189.95	93.61
190.17	58.80
190.38	13.74
190.60	107.95
190.82	-43.60
191.03	62.89
191.25	218.54
191.46	-51.79
191.68	118.19
191.89	153.00
192.11	224.68
192.32	118.19
192.54	112.04
192.76	159.15
192.97	79.28
193.19	161.19
193.40	58.80
193.62	32.17
193.83	109.99
194.05	181.67
194.26	144.81
194.48	64.94
194.69	171.43
194.91	114.09
195.13	161.19
195.34	120.23
195.56	48.56
195.77	120.23
195.99	26.03
196.20	11.69
196.42	226.73
196.63	112.04
196.85	163.24
197.06	-4.69
197.28	46.51
197.49	69.04
197.71	218.54
197.92	138.67
198.14	138.67
198.36	204.20
198.57	52.65
198.79	296.36
199.00	144.81
199.22	153.00
199.43	-21.08
199.65	144.81
199.86	175.53
200.08	95.66
200.29	62.89
200.51	99.75
200.72	64.94
200.94	38.32
201.15	265.64
201.37	130.47
201.58	136.62
201.80	114.09
202.01	142.76
202.23	15.79
202.44	87.47
202.66	28.08
202.87	155.05
203.09	214.44
203.31	136.62
203.52	99.75
203.74	103.85
203.95	109.99
204.17	191.91
204.38	193.96
204.60	109.99
204.81	210.35
205.03	163.24
205.24	153.00
205.46	-8.79
205.67	114.09
205.89	187.82
206.10	118.19
206.32	36.27
206.53	169.39
206.75	93.61
206.96	13.74
207.18	124.33
207.39	56.75
207.61	87.47
207.82	34.22
208.04	95.66
208.25	169.39
208.47	216.49
208.68	69.04
208.90	87.47
209.11	38.32
209.33	97.71
209.54	210.35
209.75	171.43
209.97	85.42
210.18	161.19
210.40	15.79
210.61	112.04
210.83	202.15
211.04	218.54
211.26	101.80
211.47	73.13
211.69	200.11
211.90	64.94
212.12	112.04
212.33	144.81
212.55	105.90
212.76	64.94
212.98	44.46
213.19	56.75
213.41	155.05
213.62	116.14
213.84	159.15
214.05	208.30
214.27	81.32
214.48	167.34
214.69	138.67
214.91	210.35
215.12	171.43
215.34	97.71
215.55	50.60
215.77	118.19
215.98	79.28
216.20	66.99
216.41	105.90
216.63	146.86
216.84	85.42
217.06	114.09
217.27	103.85
217.49	36.27
217.70	155.05
217.91	109.99
218.13	196.01
218.34	153.00
218.56	97.71
218.77	118.19
218.99	66.99
219.20	11.69
219.42	28.08
219.63	157.10
219.85	175.53
220.06	109.99
220.27	136.62
220.49	210.35
220.70	134.57
220.92	-27.22
221.13	103.85
221.35	122.28
221.56	15.79
221.78	-16.98
221.99	394.66
222.20	150.95
222.42	36.27
222.63	191.91
222.85	52.65
223.06	153.00
223.28	236.97
223.49	206.25
223.70	325.03
223.92	99.75
224.13	177.58
224.35	161.19
224.56	69.04
224.78	130.47
224.99	130.47
225.21	48.56
225.42	191.91
225.63	62.89
225.85	228.78
226.06	167.34
226.28	87.47
226.49	89.51
226.71	77.23
226.92	175.53
227.13	224.68
227.35	163.24
227.56	58.80
227.78	298.41
227.99	26.03
228.20	36.27
228.42	175.53
228.63	87.47
228.85	259.50
229.06	161.19
229.28	130.47
229.49	93.61
229.70	193.96
229.92	93.61
230.13	30.12
230.35	114.09
230.56	118.19
230.77	150.95
230.99	40.36
231.20	150.95
231.42	109.99
231.63	124.33
231.84	153.00
232.06	-4.69
232.27	191.91
232.49	196.01
232.70	261.54
232.91	75.18
233.13	198.06
233.34	189.87
233.56	171.43
233.77	42.41
233.98	322.98
234.20	245.16
234.41	11.69
234.63	128.43
234.84	249.26
235.05	132.52
235.27	112.04
235.48	62.89
235.70	134.57
235.91	40.36
236.12	167.34
236.34	56.75
236.55	239.02
236.77	202.15
236.98	-19.03
237.19	62.89
237.41	179.63
237.62	134.57
237.83	52.65
238.05	148.91
238.26	19.88
238.48	99.75
238.69	171.43
238.90	81.32
239.12	132.52
239.33	132.52
239.54	95.66
