pixel,lambda_NIST_nm,predicted_nm,residual_nm,bandwidth90_nm,bandwidth_ratio,weight,source,class,in_anchor
360.59969444612,253.6521,253.762285460607,0.11018546060663,0.85,2.2972972972973,0.189480968858131,Hg,broadened,0
640.012147929091,313.1716,312.980684387187,-0.190915612813058,0.84,2.27027027027027,0.194019274376417,Hg,broadened,1
888.769106063958,365.1205,365.07857407336,-0.0419259266396921,0.83,2.24324324324324,0.198722601248367,Hg,broadened,1
1079.81619511444,404.6565,404.657968117957,0.00146811795656276,0.41,1.10810810810811,0.814396192742415,Hg,clean,1
1231.84630031142,435.8335,435.868822678346,0.035322678345608,0.41,1.10810810810811,0.814396192742415,Hg,clean,1
1779.94809108728,546.075,546.101925253059,0.0269252530586073,0.4,1.08108108108108,0.855625,Hg,clean,1
1936.76946580599,576.961,576.929688714119,-0.0313112858812019,3.13,8.45945945945946,0.0139738080413192,Hg,SEVERE BLEND,1
1947.67873655434,579.067,579.06171258481,-0.00528741518962761,3.13,8.45945945945946,0.0139738080413192,Hg,SEVERE BLEND,1
1979.30883067392,585.2488,585.233908614033,-0.0148913859674167,1.17,3.16216216216216,0.10000730513551,Ne,blend,0
1994.23237408052,588.1895,588.141193632213,-0.0483063677866085,5.65,15.2702702702703,0.00428851123815491,Ne,SEVERE BLEND,0
2026.75726048596,594.4834,594.4665949639,-0.0168050361004362,0.78,2.10810810810811,0.225016436554898,Ne,broadened,0
2093.56929924804,607.4338,607.413099262446,-0.0207007375541934,8.69,23.4864864864865,0.00181285845005237,Ne,SEVERE BLEND,0
2104.78931359239,609.6163,609.581001212376,-0.0352987876241286,1.93,5.21621621621622,0.0367526645010604,Ne,blend,0
2129.15682474122,614.3062,614.282982103458,-0.0232178965425192,1.16,3.13513513513514,0.101739001189061,Ne,blend,0
2139.50613157598,616.3594,616.277398284287,-0.0820017157134316,9.83,26.5675675675676,0.00141676041018784,Ne,SEVERE BLEND,0
2167.74074121964,621.7281,621.710580871543,-0.017519128457252,0.38,1.02702702702703,0.948060941828255,Ne,clean,0
2193.42569828583,626.6495,626.643025942644,-0.0064740573563995,0.38,1.02702702702703,0.948060941828255,Ne,clean,0
2213.41874570838,630.4789,630.475714639932,-0.00318536006773229,19.92,53.8378378378378,0.000345004516056193,Ne,SEVERE BLEND,0
2228.81207331236,633.4428,633.422615657068,-0.0201843429318842,0.38,1.02702702702703,0.948060941828255,Ne,clean,0
2254.27193837767,638.2991,638.28895182359,-0.0101481764100981,3.05,8.24324324324324,0.0147164740661113,Ne,SEVERE BLEND,0
2264.28547314452,640.2248,640.200273156024,-0.0245268439756501,1.53,4.13513513513514,0.058481780511769,Ne,blend,0
2319.16309557362,650.6528,650.648316900018,-0.00448309998182594,1.14,3.08108108108108,0.105340104647584,Ne,blend,0
2332.93099772032,653.2882,653.262445342363,-0.0257546576369805,4.93,13.3243243243243,0.00563260906237014,Ne,SEVERE BLEND,0
2367.90448161711,659.8953,659.889971453565,-0.00532854643483915,0.38,1.02702702702703,0.948060941828255,Ne,clean,0
2409.97694281765,667.8276,667.838009836248,0.0104098362480727,0.38,1.02702702702703,0.948060941828255,Ne,clean,0
2430.61699935425,671.7043,671.727231747726,0.0229317477258064,5.65,15.2702702702703,0.00428851123815491,Ne,SEVERE BLEND,0
2543.9986180013,692.9467,692.973471061034,0.0267710610341965,0.37,1,1,Ne,clean,0
2599.13063964,703.2413,703.231164105577,-0.0101358944227741,0.37,1,1,Ne,clean,0
2675.76757459983,717.3938,717.40891697636,0.0151169763597636,0.74,2,0.25,Ne,broadened,0
2714.43466247039,724.5167,724.526070855421,0.00937085542136629,0.37,1,1,Ne,clean,0
2820.12362836425,743.8899,743.853625682283,-0.036274317717357,0.73,1.97297297297297,0.256896228185401,Ne,broadened,0
